timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1663498742395,597,Get Users by Id,200,OK,Stress_test 1-27,text,true,,462,194,23,23,https://project-three-application-type.azurewebsites.net/api/Users/3,597,0,0
1663498742446,553,Post Users,200,OK,Stress_test 1-25,text,true,,403,280,23,23,https://project-three-application-type.azurewebsites.net/api/Users,553,0,0
1663498741350,1999,Put User,200,OK,Stress_test 1-23,text,true,,403,279,23,23,https://project-three-application-type.azurewebsites.net/api/Users/9,1999,0,0
1663498742819,975,Delete Users,200,OK,Stress_test 1-28,,true,,211,216,23,23,https://project-three-application-type.azurewebsites.net/api/Users/9,975,0,0
1663498743000,958,Delete Users,200,OK,Stress_test 1-25,,true,,211,216,23,23,https://project-three-application-type.azurewebsites.net/api/Users/1,958,0,0
1663498742992,961,Put User,200,OK,Stress_test 1-27,text,true,,403,279,23,23,https://project-three-application-type.azurewebsites.net/api/Users/3,961,0,0
1663498743795,528,Get Users by Id,200,OK,Stress_test 1-28,text,true,,462,194,23,23,https://project-three-application-type.azurewebsites.net/api/Users/9,528,0,0
1663498743972,524,Get Users by Id,200,OK,Stress_test 1-25,text,true,,462,194,23,23,https://project-three-application-type.azurewebsites.net/api/Users/1,524,0,0
1663498733490,12062,Get Users,200,OK,Stress_test 1-26,text,true,,1212,192,23,23,https://project-three-application-type.azurewebsites.net/api/Users,12062,0,10793
1663498742992,2840,Post Users,200,OK,Stress_test 1-29,text,true,,403,279,23,23,https://project-three-application-type.azurewebsites.net/api/Users,2840,0,0
1663498745552,770,Post Users,200,OK,Stress_test 1-26,text,true,,403,277,23,23,https://project-three-application-type.azurewebsites.net/api/Users,770,0,0
1663498744323,2008,Put User,200,OK,Stress_test 1-28,text,true,,403,279,23,23,https://project-three-application-type.azurewebsites.net/api/Users/9,2008,0,0
1663498745832,562,Delete Users,200,OK,Stress_test 1-29,,true,,211,216,23,23,https://project-three-application-type.azurewebsites.net/api/Users/5,562,0,0
1663498744496,2249,Put User,200,OK,Stress_test 1-25,text,true,,403,281,23,23,https://project-three-application-type.azurewebsites.net/api/Users/1,2249,0,0
1663498741487,7312,Get Users,200,OK,Stress_test 1-30,text,true,,1212,192,23,23,https://project-three-application-type.azurewebsites.net/api/Users,7312,0,6241
1663498746323,2497,Delete Users,200,OK,Stress_test 1-26,,true,,211,216,23,23,https://project-three-application-type.azurewebsites.net/api/Users/7,2497,0,0
1663498746395,2464,Get Users by Id,200,OK,Stress_test 1-29,text,true,,462,194,23,23,https://project-three-application-type.azurewebsites.net/api/Users/5,2464,0,0
1663498748800,744,Post Users,200,OK,Stress_test 1-30,text,true,,403,280,23,23,https://project-three-application-type.azurewebsites.net/api/Users,744,0,0
1663498748821,850,Get Users by Id,200,OK,Stress_test 1-26,text,true,,462,194,23,23,https://project-three-application-type.azurewebsites.net/api/Users/7,850,0,0
1663498748860,992,Put User,200,OK,Stress_test 1-29,text,true,,403,280,23,23,https://project-three-application-type.azurewebsites.net/api/Users/5,992,0,0
1663498749544,834,Delete Users,200,OK,Stress_test 1-30,,true,,211,216,23,23,https://project-three-application-type.azurewebsites.net/api/Users/1,834,0,0
1663498749671,716,Put User,200,OK,Stress_test 1-26,text,true,,403,278,23,23,https://project-three-application-type.azurewebsites.net/api/Users/7,715,0,0
1663498750378,3423,Get Users by Id,200,OK,Stress_test 1-30,text,true,,462,194,23,23,https://project-three-application-type.azurewebsites.net/api/Users/1,3423,0,0
1663498753802,1117,Put User,200,OK,Stress_test 1-30,text,true,,403,281,23,23,https://project-three-application-type.azurewebsites.net/api/Users/1,1117,0,0
1663498709657,47729,Get books,200,OK,Stress_test 1-11,text,true,,919473,192,23,23,https://project-three-application-type.azurewebsites.net/api/Books,1042,0,0
1663498757387,1232,Post Books,200,OK,Stress_test 1-11,text,true,,403,363,23,23,https://project-three-application-type.azurewebsites.net/api/Books,1232,0,0
1663498758618,893,Delete Books,200,OK,Stress_test 1-11,text,true,,5950,194,23,23,https://project-three-application-type.azurewebsites.net/api/Books/7,877,0,0
1663498759511,341,Get Books by ID,200,OK,Stress_test 1-11,text,true,,4768,194,23,23,https://project-three-application-type.azurewebsites.net/api/Books/7,339,0,0
1663498703291,56735,Get books,200,OK,Stress_test 1-8,text,true,,926433,192,23,23,https://project-three-application-type.azurewebsites.net/api/Books,594,0,0
1663498759852,230,Put Books,200,OK,Stress_test 1-11,text,true,,403,364,23,23,https://project-three-application-type.azurewebsites.net/api/Books/7,230,0,0
1663498705655,56811,Get books,200,OK,Stress_test 1-9,text,true,,916123,192,22,22,https://project-three-application-type.azurewebsites.net/api/Books,724,0,0
